AveragePrice,TotalSize,Timestamp
0.199706,28159.335410,1748638595626
0.199620,200795.467862,1748638655626
0.199565,224786.286877,1748638715626
0.199477,304606.621250,1748638775626
0.199458,444027.818024,1748638835626
0.199427,564933.280820,1748638895626
0.199423,572147.925484,1748638955626
0.199415,772683.892023,1748639015626
0.199428,2191868.719956,1748639075626
0.199441,2325390.503559,1748639135626
0.199458,2347696.438520,1748639195626
0.199469,2425749.369016,1748639255626
0.199476,2502544.696590,1748639315626
0.199493,2789969.043668,1748639375626
0.199501,2877881.502424,1748639435626
0.199498,2913204.805779,1748639495626
0.199513,2905818.985378,1748639555626
0.199550,2974218.418416,1748639615626
0.199666,3888852.196288,1748639675626
0.199689,4362469.480488,1748639735626
0.199730,4293190.605736,1748639795626
0.199744,4375481.709491,1748639855626
0.199765,4209857.699375,1748639915626
0.199797,2844432.834194,1748639975626
0.199809,2797954.808722,1748640035626
0.199818,2840752.529240,1748640095626
0.199845,2872877.787978,1748640155626
0.199872,2818711.355163,1748640215626
0.199919,2750665.430659,1748640275626
0.199988,3333287.627712,1748640335626
0.199982,3830749.906236,1748640395626
0.199993,3698668.168357,1748640455626
0.199988,3976117.403324,1748640515626
0.200004,3264921.825479,1748640575626
0.200054,4513447.059115,1748640635626
0.200071,4518569.116370,1748640695626
0.200085,4468828.876136,1748640755626
0.200096,4569860.847837,1748640815626
0.200103,4573106.099272,1748640875626
0.200113,4527901.358923,1748640935626
0.200119,4492200.323527,1748640995626
0.199916,6390941.401017,1748641055626
0.199803,8059301.039068,1748641115626
0.199776,8216551.852091,1748641175626
0.199717,7715246.631450,1748641235626
0.199698,7323737.825328,1748641295626
0.199672,8218683.023118,1748641355626
0.199609,8362895.151572,1748641415626
0.199501,9399167.971390,1748641475626
0.199356,7867741.210403,1748641535626
0.199303,7903240.423122,1748641595626
0.199287,7913269.197554,1748641655626
0.199263,7803595.601034,1748641715626
0.199243,7758374.580207,1748641775626
0.199234,7721747.793342,1748641835626
